,FINAL_FIX,sentiment,confidence,label
0,sangat kecewa pesan villa booking suda bayar tolak beli tau an kecewa sekali kecewa sekali,0,0.9999322891235352,Negative
1,tiket paylater aktif semntara tagih ga yg telat,1,0.7424244284629822,Positive
2,kalau siap jual tiket online,1,0.999632716178894,Positive
3,aplikasi buruk pernah gue install gara gara apk busuk kalian sering nge crush pas mau login gue gagal dapet tiket konser agustd gue yakin banget kalian main main sama sistem jual tiket masak iya baru beberapa detik cat sama udh habis emang bener busuk kalian liat aja bntar lg rating apk kalian bkl jd nantangin army kalian,0,0.9999202489852905,Negative
4,sumpah ni aplikasi capek banget booking inap sini sering ketemu harga aplikasi murah pas check in pihak inap selalu minta tambah harga kata sesuai aplikasi minta lah aplikasi buat tertib tu inap kalau perlu jangan iming imingi harga murah aplikasi mana sering nambah hampir harga aplikasi,0,0.9998589754104614,Negative
5,l romadhon bln puasa bln panen baca al quran sedekah taubat minta ampun allih swt svci sawal bin tingkat tahun depan lebih baik thyg lalamiin,1,0.9997513890266418,Positive
6,mantappp sangat bantu awal sangat bantu bayar jg tdk pernah telat semankin lama aplikasi kecewa paylater tdk aktif,0,0.962202250957489,Negative
7,org dzalim jahat busuk curang layan buruk,0,0.9999301433563232,Negative
8,point ga pakai kak mohon bantu tulis verifikasi hp padahal nomor sesuai tera jadi nomor guna akun padahal cuma akun mohon solusi admin,0,0.9999018907546997,Negative
9,fee doang gede sistem nya jelek bgt,0,0.9999363422393799,Negative
10,kecewa sistem utama hari proses beli tiket konser server sulit akses transparansi berapa banyak guna antri tambah beberapa menit cat full booked beneran sangat kecewa,0,0.9999396800994873,Negative
11,aplikasi tiket com mantap sangat rekomendasi,1,0.9986674785614014,Positive
12,ga efisien war tiket konser judul udah tulis day day day pas pilih section aja kalender yg nambah effort buat ngescroll makin lama step lanjut,0,0.9987624883651733,Negative
13,layak buat tiketing konser gede,1,0.9989638328552246,Positive
14,gunain pas war tiket agustd bahkan gakebuka sama sekali tiba tiba udh sold kadang pas available tiket gabisa klik servernya baik terimakasih,0,0.9999107122421265,Negative
15,sistem jeleekkkkk fee nya doang gede banget nyari cuan banyak nya tp servernya sampah gabisa masuk sama sekaliiii keluar terus padahal gada problem sama jaring kapok pake app was was sama data pribadi bocor jugaa,0,0.9999420642852783,Negative
16,jelek kembali dana lama skli,0,0.9999406337738037,Negative
17,ujicoba pertama kali moga harga lebih murah aplikasi bayar banyak pilih,1,0.9993129968643188,Positive
18,aplikasi yg sangat mudah segala dlm jalan ku fiturnya lengkap mantap,1,0.9997699856758118,Positive
19,nya booking hotel h hari h minta refund krn event akhir pemberitahuan lebih,0,0.9999212026596069,Negative
20,bagus kok aplikasi sangat bantu proses cepat gk ribet,1,0.9975107908248901,Positive
21,parah sen hotel apk sangat profesional kirim jumlah uang nominal lebih lalu pesan proses malah kembali dana proses kembali dana lama sekali kirim uang padahal kan uang hak proses lama sekali hari hari sangat rekomendasi lebih hati hati mes tiket apa,0,0.999908447265625,Negative
22,sistem jelek terlalu gampang buyer heran gue,0,0.9999358654022217,Negative
23,tiket com benar benar complit kini cocok utk semua kalang,1,0.9990003705024719,Positive
24,baru pertama pesan tp hasil bagus,1,0.9985468983650208,Positive
25,makasih dah bantu cari hotel harga jangkau,1,0.9968607425689697,Positive
26,teman jdi korban g refund uang padahal yg cancel maskapai recommend,0,0.9999042749404907,Negative
27,fee platform udh gede ngecrash parah kecewa kecewa,0,0.9999308586120605,Negative
28,tolong harga tiket pesawat ringan kan kasi masyarakat bawah rata yg mau jalan jauh kata lebih murah yg,1,0.608922004699707,Positive
29,kalo baca ulas banyak yg kecewa tp jadi penasaran alhamdulillah lancar pesan tiket bayar pake briva lgsg keluar kode boking kasih bintang,1,0.9989744424819946,Positive
30,terima kasih ticket com bantu selesai masalah kemarin responnya sangat baik,1,0.9986959099769592,Positive
31,fitur lengkap pilih bayar lalu e wallet sangat bantu,1,0.9975101947784424,Positive
32,aplikasi jujur tipu banyak orang dasar tipu,0,0.9998241066932678,Negative
33,luar biasa mudah respon cepat,1,0.8790788054466248,Positive
34,punya limit paylater tpi percuma gak pakai,0,0.9999271631240845,Negative
35,banyak promosi nya baik lah,1,0.9993595480918884,Positive
36,aplikasi sangat sangat buruk salah pesan tiket mau reschedule malah suruh nambah padahal belum udah baya nama bukan reschedule lebih jadi jangan mau pake aplikas,0,0.9999309778213501,Negative
37,benar aplikasi nya cukup baik jadi salah baik dr system dr usernya admin beri solusi yg baik win win solution baik akun yg level newbie level audah bronze tetep sama aja solusi baik masalah,1,0.9988631010055542,Positive
38,bahagia lho punya aplikasi mudik gak pake bingung bayar bayar bulan ikut cuss lah download rekomended banget,1,0.9985509514808655,Positive
39,support respect sama app semangat karya terus developer,1,0.9998600482940674,Positive
