,FINAL_FIX,sentiment,confidence,label
6,sangat bantu diskon harga pantastis,1,0.9997554421424866,Positive
15,moga hasil kecewa mesan orang tua,0,0.9997957348823547,Negative
18,sangat kecewa beli tiket dgn paylater reschedule tglnya dr juli juli ibu sakit keras indonesia bel paylater lg kena tagih dobel tiket yg baru ga masalah bayar yg sdh tiket khan sdh rubah sdngkan biaya reschedule rb orang tp say tetap harus bayar paylater yg sdh rubah jadwal khan aneh jadi asa beli tiket jt kalu sya byar dobel sejak malam sampe skrg no tanggap,0,0.9999181032180786,Negative
19,trimakaasihh smg mjd bahagia smua umat amin,1,0.9996556043624878,Positive
25,bagus jadi makin mudah aja,0,0.9846238493919373,Negative
29,sangat mudah guna sangat bantu,0,0.9999175071716309,Negative
30,lama lama jelek bgt aplikasi kmrn beli tiket pesawat pke aplikasi tulis blm pesan aktif skrg mau sen tiket dapat masalah koneksi ga recomended lama lama aplikasi,0,0.9999340772628784,Negative
32,lmyn gampang ringkes utk aplikasi nya,0,0.9999350309371948,Negative
33,udah tawar tukar point produk produk kalau memang gabisa pakai kode vouchernya tukar point ichitan gabisa tukar kode cs hubung komplain masalah gak selesai,0,0.9999122619628906,Negative
36,bagus cepat layan nya tiket cari,0,0.9998531341552734,Negative
52,saldo uang cair transfer rekening bank guna paylater kemudian langsung bayar laku refund dana dana refund sebut paylater tagih ditindaklanjuti lebih cepat jangan langgan pergi satu per satu,0,0.998955249786377,Negative
53,layan cepat lebih efisien bagus,0,0.9994351267814636,Negative
55,keren cepat bgt cuma sayang cari bangku blkg sopir paling depan susah bgt mudah an yg sendiri mau tukeran sy sama ank dua biar gak mabok anak klo depan,0,0.9998772144317627,Negative
58,ubah harga nya dong harga nya naik turun terus mahal banget coi,0,0.9999221563339233,Negative
70,ijin ss save desain nya kak,0,0.9997426867485046,Negative
73,daftar pylater ga pernh hasil tolak terus,0,0.9999322891235352,Negative
75,jgn mahal mahal buat rakyat biasa,0,0.9984644651412964,Negative
76,e www e rs tt zz wwwsebelah wayrrr ss ss d see rrr rdswww www lwj to z se ess serrsrese s eeersrrss s z sseszeeswsz wa yguhb eseess srsesseeeseeada c ng ibu dx wt be,0,0.9998608827590942,Negative
77,rental taxi garuda ana horison,0,0.9998944997787476,Negative
80,pesan taksi bandara mobil sekaligus guna jasa transport java team padahal pesan tulis aplikasi include biaya parkir tol driver minta biaya parkir tol tanya driver dpt k byr cukup mahal,0,0.9998780488967896,Negative
81,aplikasi sangat bantu lebih bagus aplikasi buat menu verifikasi langkah aktivitas hacker sangat ganas mohon timbang terimakasih,0,0.9995976090431213,Negative
87,alhamdulillah beberapa bln yg lalu pke sangat mudah pesan hotel moga kali jg muas,1,0.9993914365768433,Positive
90,kecewa pesan hotel bayar tiba pihak e voucher gagal terbit proses refundnya sd hari kerja konsumen harus proses refund wajib langsung masuk rekening hari karna salah pihak nya customer servicenya solusi,0,0.999916672706604,Negative
93,upaya gabung pitogo rintis sedia layan jalan pi laku wujud,1,0.9998465776443481,Positive
