,FINAL_FIX,sentiment,confidence,label
0,sangat bagus respon lumayan cepat layan reschedule sangat bantu,0,0.999910831451416,Negative
1,baik sistem trveloka limit jt jadi turun trus kemarin pake limit email tagih padahal bayar lunas bulan mon maaf gk bakal bayar enak aja bayar doble,0,0.9999223947525024,Negative
2,cepat proses senang tiap kali ubah selalu kabar bertggjwb terimakasih moga makin baik depanny,1,0.9998534917831421,Positive
3,sangat mudah ambil tiket pesawat,1,0.9994908571243286,Positive
4,bagus tingkat terus reward buat langgan,1,0.9859707951545715,Positive
5,kecewa telat bayar hari level sama limit turun gede level jadi limit kecewa udah mah bayar pade denda lambat kecewa,0,0.9999279975891113,Negative
6,mau daftar pasar villa yg kelola apa sini,0,0.9988307356834412,Negative
7,mudah murah tarik diskon banyak pilih,1,0.9990314245223999,Positive
8,keren bantu bgt buat yg suka travelling keren pokok playanannya,1,0.9998268485069275,Positive
9,macam macam fiturnya bayar segala tagih jalan sangat puas,1,0.722315788269043,Positive
10,sangat bantu paylater nya mudah an dapet lima gede makasih,1,0.9997807145118713,Positive
11,jadi referensi aplikasi utama rencana jalan pesawat terbang akomodasi sangat banyak pilih harga promo sangat murah,1,0.9997897744178772,Positive
12,makin mantap postur yg banyak makin mudah,1,0.9995447993278503,Positive
13,aplikasi keren banyak promo nya,1,0.9998224377632141,Positive
14,waktu berangkat po bus damri beda alhasil tunggu jam,0,0.9999213218688965,Negative
15,makin amburadul playter nonaktif pihak no recommended,0,0.9999351501464844,Negative
16,app jelas buat guna rugi bikin keliru guna pilih tuju tampil semua bukan sesuai kabupaten app mau beanggung jawab,0,0.9998798370361328,Negative
17,update info tiketenya cepat proses mudah amann mantapplahh,1,0.9997503161430359,Positive
18,cari tiket gak pake ribet,0,0.9999333620071411,Negative
19,lmyn gampang ringkes utk aplikasi nya,0,0.9999350309371948,Negative
20,proses mesan yg sangat mudah cepat percaya terimakasih,0,0.9997754693031311,Negative
21,baru kali kecewa sama agen customer servicenya nunggu lama dapat gak denger dulu malah langsung anggap lapor selesai sekalipun memang jangan cara pantas main putus pihak baik sdm nya kalo guna bot cukup,0,0.9999368190765381,Negative
22,kecewa ma treveloka masa smpai sekarang paylater aku kok gak acc yaaa padahal uda lama pake treveloka,0,0.9999315738677979,Negative
23,knapa aplikasi berat banget sekarang akses pas cari tiket bikin kesel ajak,0,0.9999285936355591,Negative
24,bayar eror terus aplikasi gila,0,0.999925971031189,Negative
25,terimakasih refund nya cepat proses ga lama lama in puas banget sama layan nya sih sukses terus pokok,1,0.9997488856315613,Positive
26,bagi baik lama tahun selalu tani selalu beri baik bets pokok jamin keamana beli tiket khusus nya sekse selalu,1,0.9997721314430237,Positive
27,keren apl sangat bantu sy,1,0.9997872710227966,Positive
28,baru pertama kali transaksi kasih bintang dulu,0,0.999747097492218,Negative
29,mudah spa yg ada jalan terima kasih atas layan smg makin sukses aamiin,1,0.9997872710227966,Positive
30,alhamdulilah walupun guna baru ngerasa bantu waktu perlu ngedadak,1,0.9987282156944275,Positive
31,update jadi sering keluar sendiri buka aplikasi nya,0,0.9999287128448486,Negative
32,gimana sih mau sen tiket selalu mulu menu awal coba ulang kali ampe jempol keriting ttp aja gitu terus gabisa dipake percuma gua download,0,0.9999352693557739,Negative
33,dong jangan asal main naik turun limit seenaknyaa kan butuh nasabah kalau bayar ga lancar sisa limit tiba tiba enak diturunin trs jadi pdhl bayar lancar ga tunggak niat ga ngasih limit nasabah sebel bgt gw asa dimaenin sama nih aplikasi justru nasabah tanggung jawab sering pakai lah naik turunin limit enak kecewa lama lama ga pake jg nih bikin kapok,0,0.9999364614486694,Negative
34,bagus cpt n bxk promo,1,0.9997133612632751,Positive
35,luar biasa sangat bantu terima kasih,0,0.9998502731323242,Negative
36,kasih bintang pasang hp biar siap pake nya,1,0.6580989360809326,Positive
37,kecewa parah reschedule rogoh uang bilang hampir tengah harga awal padahal d tentu ribu per org stop booking right here what a manipulate order i need more explain about this,0,0.999940037727356,Negative
38,aplikasi gak jelas buat pusing orang bae,0,0.9999059438705444,Negative
39,akun paylater sy ga apa apain tiba tiba blok ga maju sama aja main konsumen alas transaksi curiga orang ga transaksi apa emang ga apa cek sistem teamterkaiteror,0,0.9999303817749023,Negative
40,sangat bantu staycation bareng keluarga punya byk recommended dr mulai tiket pesawat sampe hotel apartment,1,0.9998655319213867,Positive
41,apk nya bagus hrga sja bingung dg kriteria paylater nya bayar saldo aku gak,0,0.9999057054519653,Negative
42,lama enjoy aja pakai aplikasi terima kasih,0,0.9353463649749756,Negative
43,kalau memang tiket kereta habis lebih baik tiada sekali jadi rebut pas balik karna seat muncul,0,0.9997972846031189,Negative
44,luar biasa bantu dgn aplikasi,1,0.9996596574783325,Positive
45,please dong hapus uang e wallet nya makan banyak korban tau klk udh uang gk trusted lg yaudah hapus aja,0,0.9999294281005859,Negative
46,memang selalu jadi andal mantap,1,0.9998015761375427,Positive
47,aplikasi bagus percaya moga makin bagus banyak promo nya,1,0.9975383281707764,Positive
48,aplikasi yg sangat bantu saat ken healing kalo paylater bagi ubah dana tunai libur makin tenang n nyaman saat butuh dana dada,1,0.9996469020843506,Positive
49,benar gak masalah pas cek out hotel tera rb pas mau bayar naik tiba jadi rb jadi,0,0.9999278783798218,Negative
50,aplikasi se enak nya aj beli tiket pesawat satu kali jalan tuju bayar nermalkan kota transit biaya sendiri,1,0.994654655456543,Positive
51,proses cepat mudah sukses terus promo tiket murah jangan pelit pelit donk,1,0.9997958540916443,Positive
52,semua jadi mudah sukses maju selalu,1,0.9998173117637634,Positive
53,alas utama kasih rating jelek aplikasi nya suka ngehang sama reload sendiri android,0,0.9999370574951172,Negative
54,semua cs general hubung bayar limit time malah cek status limit time cs aktif cuma bagi finance pliss lah masa kalah sama apk belah yg gak ribet begini,0,0.9998118281364441,Negative
55,sangat bantu jadi lebih mudah tuk dapat info jadwal harga tiket sesuai tuju,1,0.9997656941413879,Positive
56,terlalu banyak masalah nie travel loka mo refund aj susah minta ampun kata satu jam belum gilir coba gagu sistem aduh tau tau waktu refund habis siet dulu hampir sama kapok pake travel loka kapok jangan lh mikir dlu kalo kapok gak pakai apl,0,0.9999371767044067,Negative
57,proses mesan cepat proses reschedule mudah cepat,0,0.9998101592063904,Negative
58,sangat jelas ptnjuk asuransi jg,0,0.704594075679779,Negative
59,alhamdulillah dgn jalan lebih mudah,1,0.9998064637184143,Positive
60,percuma paylater kalo gak guna hapus aja data data percuma gak,0,0.9998811483383179,Negative
61,puas sangat bantu beli tiket dn boking hotel,1,0.9946448802947998,Positive
62,sistem bayar minta pin sebab sulit konsumen mohon sistem lebih sederhana transaksi jadi lebih cepat terima kasih,1,0.9948146939277649,Positive
63,very good and faster andthan smart system,1,0.9991260170936584,Positive
64,sy sgt puas layan baik pesan tiket ubah jadwal maupun refund proses dgn cepat baik terima kasih happy anniversary god bless you and success always for you and staffs aamiin,1,0.9998505115509033,Positive
65,sangat mudah cepat proses reservasi terima kasih,0,0.9998472929000854,Negative
66,selalu jadi solusi baik saat kuta butuh dadakn,1,0.9978849291801453,Positive
67,daftar pylater ga pernh hasil tolak terus,0,0.9999322891235352,Negative
68,paling the best pesan gampang refundnya gampang tahan,0,0.9985741376876831,Negative
69,bug beli tiket kereta bayar home muncul selesai bayar asuransi chub untng iseng coba utk bayar minus trsebut milih bank tdk,0,0.9998935461044312,Negative
70,subhanallah mantap treveloka mudah sen bis,1,0.9997368454933167,Positive
71,alam kesan refund fast respon,0,0.9998952150344849,Negative
72,taun kmaren smpe awal taun bsa pake vn paylater trs skrg updt baru kata uda g bs pke paylater vn hrs dg level trtentu dlu lbh bgus bijak yg sblmnya,1,0.5990301966667175,Positive
73,sangat mudah bantu konsumen tentu pilih inap sesuai hotel yg ingin,1,0.9995611310005188,Positive
74,terimakasih tiket pesawat murah praktis bayar,1,0.9998096823692322,Positive
75,alhamdulillah beberapa bln yg lalu pke sangat mudah pesan hotel moga kali jg muas,1,0.9993914365768433,Positive
76,keren emang praktis canggih mana,1,0.9998294115066528,Positive
77,keren banget it just works i have a great time using this app as a service,1,0.9998478889465332,Positive
78,baru pertama make ngecewain banget udang booking tiket kereta udah bain war tiket udah bayar ga verifikasi astagfirullah,0,0.9999402761459351,Negative
79,dulu bagus skrg bagus bahkan riwayat refund jauh jauh hari potong banyak sekali skrg bad banget,0,0.9999232292175293,Negative
80,cs aplikasi full bot padahal layan live chat,0,0.9999326467514038,Negative
81,app nya mudah urus mesan beli tiket jalan inap,1,0.7861180901527405,Positive
82,mudah guna informasi lengkap banyak promo,1,0.9997696280479431,Positive
83,kl ga niat nawarin paylater jgn stlh kirim data nyata tolak smua data hapus,0,0.9999055862426758,Negative
84,sumpah skrang lelet jadi gak betah pdahal jaring gak masalah,0,0.9999375343322754,Negative
85,suka ubah jadwal enak pemberitahuan,1,0.9928134083747864,Positive
86,the best aplikasi booking hotel,1,0.9995126724243164,Positive
87,harga yg murah sangat bantu dn percaya,1,0.9998016953468323,Positive
88,sering eror gin aplikasi uda bolak balik d uninstal tetep eror,0,0.999937891960144,Negative
89,punya sya dr kmren susah buka yg sama,0,0.9999179840087891,Negative
90,aplikasi paling bagus dripada apk sen tiket kereta api walaupun tiket mudik sering trouble selalu thank you,1,0.9992840886116028,Positive
91,sangat mudah praktis mengunakan aplikasi trveloka,1,0.9981452226638794,Positive
92,mudah guna sangat bantu krn cepat cara bayar yg banyak,1,0.9996365308761597,Positive
93,sungguh aneh entah apa jadi nilai limit pakai juta cicil limit pangkas sisa juta bayar pernah sekalipun telat status akun situ tera sehat bayar sehat lantas apa jadi landas turun limit apa maksud kalian pakai limit nya habis lalu tinggal,0,0.9999011754989624,Negative
94,sangat bagus muda dlm ber transaksi apa,1,0.9982011318206787,Positive
95,muas alam yg seru transaksi payleternya kupon nya,1,0.9997377991676331,Positive
