userName,content,score,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
frenky Chandra,"Aplikasi yg pusing, susah di pakai nya",1,4.60.0,2023-07-03 02:09:20,"Hai Frenky Chandra,
Terima kasih ya sudah luangkan waktumu berikan ulasan untuk kami. Jika kamu ada alami kendala saat pesan atau bingung dengan apps kami jangan sungkan hubungi customer care kami ya sobat. Kami siap bantu kamu 24/7 atau kamu bisa kirimkan email ke cs@tiket.com dengan subject : “Konfirmasi Review App”. Terima kasih 😊 by : FA",2023-07-03 08:01:33,4.60.0
Gishela Dintya,"Suka banget sama promonya, apalagi pas masa-masa war tiket konser, pertama kali war konser di tikom langsung dapet paling depan.",5,4.60.0,2023-07-03 00:52:57,,,4.60.0
Mika Indrarini,"Aplikasi ini sangat sangat buruk, karena saya salah pesan tiket mau reschedule malah di suruh nambah 7.457.129. padahal sebelumnya saya udah baya 4.119.000. ini namanya bukan reschedule tapi lebih lagi. Jadi jangan ada yang mau pake aplikas ini",1,,2023-07-02 19:06:38,"Hai Mika Indrarini,
Kami bisa mengerti dengan yang kamu kecewakan, terima kasih juga sudah bersedia luangkan waktu berikan ulasan untuk kami. Umumnya reschedule mengikuti kebijakan pihak maskapai,boleh ceritakan detail keluhanmu bersama kami melalui email sobat?Silakan kirim ke cs@tiket.com dengan subject:“Konfirmasi Review App”.Terima kasih😊by:FA",2023-07-03 02:03:28,
Syukur Syukur,"Beberapa kali booking hotel, selalu tidak sesuai dg harga di hotelnya, akhirnya diminta tambah sama resepsionis nya... Mungkin lebih ditekankan lagi dengan mitra hotelnya,, agar setelah bayar di aplikasi tidak dimintai tambah biayanya oleh pihak hotelnya... Terimakasih",1,4.52.0,2023-07-02 14:57:24,"Hai Syukur, Mohon maaf atas ketidaknyamanannya dan terima kasih sudah meluangkan waktu untuk memberikan ulasan. Boleh kamu ceritakan detail kendalanya kepada kami via Email: cs@tiket.com dengan subject: “Konfirmasi Review App”. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu kamu. Terima kasih 😊 by : AR",2023-07-02 18:44:55,4.52.0
Rizky Plaju,👍👍🙏,5,4.61.0,2023-07-02 14:06:24,,,4.61.0
Arief Setiady,Top,5,4.60.0,2023-07-02 14:00:55,,,4.60.0
Adhit Manchay,Sangat mudah di gunakan dan sangat membantu,5,4.60.0,2023-07-02 08:34:05,,,4.60.0
muhammad Ruslan,Mudah cari tiket kapan saja,5,,2023-07-02 06:25:35,,,
Rony W,Good,5,,2023-07-01 14:50:48,,,
Safiya Anindya,kurang pemesanan tiket bus,5,4.43.1,2023-07-01 14:13:06,,,4.43.1
